seed,rotate,pair_group,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s,finetune_result,finetune_failed_conditions,finetune_rel_x_m,finetune_rel_y_m,finetune_rel_z_m,finetune_orientation_alignment,finetune_inhand_status,finetune_inhand_bias_m,finetune_stop_reason,finetune_actions,finetune_cost_step,finetune_cost_time_s
1000060,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.004254929,-0.000022341,-0.014548938,0.872959476,fail,0.040175686,inhand_early_stop,165,545,54.066387,failed,z_depth+orientation+inhand_bias,0.002187128,0.000195920,-0.016333173,0.935183122,fail,0.040212034,inhand_early_stop,191,586,58.965003
1000061,pi,both_failed,failed,x+z_depth+inhand_bias,-0.010278580,-0.008742405,-0.004274102,0.998847905,fail,0.040191858,inhand_early_stop,143,544,52.546466,failed,z_depth+inhand_bias,-0.002222864,-0.000739603,-0.028654627,0.997078762,fail,0.040415356,inhand_early_stop,163,598,56.380222
1000062,pi,both_failed,failed,z_depth+inhand_bias,-0.002351092,-0.001009823,-0.020622282,0.990701194,fail,0.040492213,inhand_early_stop,151,580,55.615164,failed,z_depth+inhand_bias,-0.002422598,-0.001029013,-0.022895393,0.994352920,fail,0.040296700,inhand_early_stop,174,607,58.248606
1000063,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.007498526,-0.000517003,-0.010389746,0.693509236,fail,0.040418004,inhand_early_stop,180,608,59.812973,failed,z_depth+orientation+inhand_bias,-0.008228609,-0.008119863,-0.004438901,0.893805627,fail,0.040018733,inhand_early_stop,186,616,58.981962
1000064,pi,both_failed,failed,z_depth+inhand_bias,-0.001823085,-0.000135647,-0.031453735,0.998649788,fail,0.040219846,inhand_early_stop,57,491,40.053382,failed,z_depth+inhand_bias,-0.002045286,0.001735180,-0.023040639,0.995213078,fail,0.040700942,inhand_early_stop,211,626,63.981299
1000065,0,both_failed,failed,z_depth+inhand_bias,0.001908999,-0.001527569,-0.028097931,0.990267624,fail,0.040378582,inhand_early_stop,252,680,70.298057,failed,z_depth+orientation,0.001095497,-0.000403172,-0.026118665,0.986525532,unknown_not_recorded,,action_limit,300,691,74.470209
1000066,0,both_success,success,,0.000365086,-0.000157961,-0.041100538,0.998663842,pass_implied,,success,179,577,56.993546,success,,0.000619871,-0.000234257,-0.040155322,0.999683143,pass_implied,,success,150,541,50.787670
1000067,0,both_failed,failed,z_depth+orientation+inhand_bias,-0.003438250,-0.002068652,-0.002601390,0.655440924,fail,0.040163667,inhand_early_stop,166,564,55.905094,failed,z_depth+orientation+inhand_bias,-0.009819467,0.000384275,0.005422112,0.715060901,fail,0.040060914,inhand_early_stop,162,565,54.364558
1000068,0,freeze_only,success,,0.000391498,0.000461925,-0.041037534,0.999131019,pass_implied,,success,194,621,61.591946,failed,z_depth+orientation+inhand_bias,-0.009171217,0.000078018,0.005506694,0.866580943,fail,0.040050564,inhand_early_stop,214,634,63.199498
1000069,0,both_failed,failed,z_depth+orientation+inhand_bias,0.000239464,-0.001204386,-0.022393431,0.977609507,fail,0.040100057,inhand_early_stop,192,590,60.659787,failed,z_depth+orientation+inhand_bias,0.001052590,-0.001762074,-0.025809364,0.987866342,fail,0.040328051,inhand_early_stop,253,649,68.658445
1000070,pi,both_success,success,,-0.001747553,0.001256137,-0.042141034,0.998953497,pass_implied,,success,193,597,62.216329,success,,-0.001762500,0.001161174,-0.040880475,0.999311004,pass_implied,,success,253,649,69.628674
1000071,0,finetune_only,failed,z_depth+orientation+inhand_bias,-0.007977698,0.004769188,0.005109248,0.924440677,fail,0.040126896,inhand_early_stop,136,545,51.604217,success,,0.001467314,0.000610932,-0.040070799,0.998929442,pass_implied,,success,206,629,61.502907
