seed,rotate,pair_group,vision_result,vision_failed_conditions,vision_rel_x_m,vision_rel_y_m,vision_rel_z_m,vision_orientation_alignment,vision_inhand_status,vision_inhand_bias_m,vision_stop_reason,vision_actions,vision_cost_step,vision_cost_time_s,freeze_result,freeze_failed_conditions,freeze_rel_x_m,freeze_rel_y_m,freeze_rel_z_m,freeze_orientation_alignment,freeze_inhand_status,freeze_inhand_bias_m,freeze_stop_reason,freeze_actions,freeze_cost_step,freeze_cost_time_s
1000058,0,freeze_only_success,failed,z_depth+inhand_bias,0.002133068,0.001421974,-0.025408229,0.994723379,fail,0.040403709,inhand_early_stop,207,614,61.576121,success,,0.002219950,0.000145391,-0.040170153,0.998807314,pass_implied,,success,199,580,61.661161
1000059,0,freeze_only_success,failed,z_depth+inhand_bias,0.002165694,0.000935271,-0.037568853,0.998710447,fail,0.040097080,inhand_early_stop,172,584,56.328734,success,,0.001847786,0.000219099,-0.040953830,0.999615238,pass_implied,,success,158,547,52.754257
1000060,pi,both_failed,failed,z_depth+inhand_bias,-0.001937222,0.002188531,-0.022620510,0.991529711,fail,0.040413116,inhand_early_stop,257,651,69.104190,failed,z_depth+orientation+inhand_bias,0.004254929,-0.000022341,-0.014548938,0.872959476,fail,0.040175686,inhand_early_stop,165,545,54.066387
1000061,pi,both_failed,failed,z_depth+inhand_bias,-0.001706870,-0.001214066,-0.023593211,0.993445232,fail,0.040246196,inhand_early_stop,203,639,62.893168,failed,x+z_depth+inhand_bias,-0.010278580,-0.008742405,-0.004274102,0.998847905,fail,0.040191858,inhand_early_stop,143,544,52.546466
1000062,pi,both_failed,failed,x+y+z_depth+inhand_bias,-0.022358221,0.021639294,-0.010770510,0.998940045,fail,0.040463398,inhand_early_stop,173,597,58.213108,failed,z_depth+inhand_bias,-0.002351092,-0.001009823,-0.020622282,0.990701194,fail,0.040492213,inhand_early_stop,151,580,55.615164
1000063,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008303711,-0.001069880,-0.008217218,0.593061376,fail,0.040107176,inhand_early_stop,202,617,62.068578,failed,z_depth+orientation+inhand_bias,0.007498526,-0.000517003,-0.010389746,0.693509236,fail,0.040418004,inhand_early_stop,180,608,59.812973
1000064,pi,both_failed,failed,z_depth+inhand_bias,-0.001749367,0.000405988,-0.024305928,0.993300949,fail,0.040045358,inhand_early_stop,169,609,58.159081,failed,z_depth+inhand_bias,-0.001823085,-0.000135647,-0.031453735,0.998649788,fail,0.040219846,inhand_early_stop,57,491,40.053382
1000065,0,both_failed,failed,z_depth+orientation+inhand_bias,0.002153302,-0.000972217,-0.028153190,0.989397724,fail,0.040343204,inhand_early_stop,268,693,70.657582,failed,z_depth+inhand_bias,0.001908999,-0.001527569,-0.028097931,0.990267624,fail,0.040378582,inhand_early_stop,252,680,70.298057
1000066,0,both_success,success,,0.003170333,0.002596780,-0.040174728,0.998268550,pass_implied,,success,262,687,69.631372,success,,0.000365086,-0.000157961,-0.041100538,0.998663842,pass_implied,,success,179,577,56.993546
1000067,0,vision_only_success,success,,0.001643061,-0.000035877,-0.040319946,0.999210621,pass_implied,,success,207,630,60.854789,failed,z_depth+orientation+inhand_bias,-0.003438250,-0.002068652,-0.002601390,0.655440924,fail,0.040163667,inhand_early_stop,166,564,55.905094
1000068,0,both_success,success,,0.000222906,0.000135263,-0.040507096,0.999108307,pass_implied,,success,210,639,61.093536,success,,0.000391498,0.000461925,-0.041037534,0.999131019,pass_implied,,success,194,621,61.591946
1000069,0,both_failed,failed,z_depth+inhand_bias,0.001667446,-0.001668926,-0.028682965,0.992416355,fail,0.040423167,inhand_early_stop,219,633,62.251942,failed,z_depth+orientation+inhand_bias,0.000239464,-0.001204386,-0.022393431,0.977609507,fail,0.040100057,inhand_early_stop,192,590,60.659787
1000070,pi,freeze_only_success,failed,z_depth+inhand_bias,-0.002152964,0.001222439,-0.036169620,0.998235370,fail,0.040276091,inhand_early_stop,198,608,60.303669,success,,-0.001747553,0.001256137,-0.042141034,0.998953497,pass_implied,,success,193,597,62.216329
1000071,0,both_failed,failed,z_depth+inhand_bias,0.002261358,0.001542330,-0.028985126,0.996373719,fail,0.040049949,inhand_early_stop,205,623,60.442044,failed,z_depth+orientation+inhand_bias,-0.007977698,0.004769188,0.005109248,0.924440677,fail,0.040126896,inhand_early_stop,136,545,51.604217
1000072,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008543106,0.000443766,-0.007977300,0.578346670,fail,0.040795174,inhand_early_stop,191,619,58.658075,failed,z_depth+orientation+inhand_bias,0.004271596,-0.000231113,-0.016719250,0.919662569,fail,0.040240085,inhand_early_stop,204,615,62.618571
1000073,pi,both_failed,failed,z_depth+inhand_bias,-0.001780203,-0.000170268,-0.035636406,0.998084419,fail,0.040640808,inhand_early_stop,193,614,59.288431,failed,z_depth+inhand_bias,-0.002641083,-0.000112445,-0.022146844,0.996177358,fail,0.040753529,inhand_early_stop,171,578,56.958536
1000074,pi,vision_only_success,success,,-0.000832168,-0.000354776,-0.040139635,0.999293080,pass_implied,,success,283,695,72.452008,failed,z_depth+inhand_bias,-0.001619013,-0.000677693,-0.026929454,0.996854975,fail,0.040068295,inhand_early_stop,215,626,64.777191
1000075,pi,both_success,success,,-0.000664694,-0.000092757,-0.040084026,0.999080951,pass_implied,,success,202,632,60.179218,success,,-0.001238813,0.000324879,-0.041508195,0.999672769,pass_implied,,success,211,639,64.881218
1000076,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008247617,0.000102478,-0.009103272,0.637518600,fail,0.040295308,inhand_early_stop,185,600,56.948603,failed,z_depth+orientation+inhand_bias,0.007403510,-0.000024686,-0.010800163,0.736880496,fail,0.040358388,inhand_early_stop,207,606,63.013795
1000077,pi,both_failed,failed,z_depth+inhand_bias,-0.001895339,0.000760674,-0.024023495,0.993032016,fail,0.040428974,inhand_early_stop,176,575,56.611635,failed,z_depth+orientation+inhand_bias,0.001343510,0.001543807,-0.018367022,0.984138358,fail,0.040039692,inhand_early_stop,214,609,64.123247
1000078,pi,both_failed,failed,z_depth+orientation+inhand_bias,0.008322507,-0.000936044,-0.008660998,0.627760455,fail,0.040370575,inhand_early_stop,231,631,65.394394,failed,z_depth+orientation+inhand_bias,-0.000424959,-0.001033568,-0.018552078,0.974072860,fail,0.040001208,inhand_early_stop,226,646,68.195732
1000079,pi,both_success,success,,-0.000601090,0.000767729,-0.040960586,0.999923948,pass_implied,,success,174,600,55.946147,success,,-0.000885623,0.000910470,-0.041104299,0.999996797,pass_implied,,success,141,534,50.987845
1000080,pi,both_failed,failed,z_depth+inhand_bias,-0.002214102,-0.001299309,-0.021970315,0.991775040,fail,0.040777492,inhand_early_stop,220,631,63.273404,failed,z_depth+inhand_bias,-0.002337079,-0.001927429,-0.023339052,0.993437616,fail,0.040491645,inhand_early_stop,246,643,67.580261
1000081,pi,freeze_only_success,failed,z_depth+inhand_bias,-0.002319652,-0.000405026,-0.029838804,0.996984626,fail,0.040964442,inhand_early_stop,133,542,49.338644,success,,-0.001931111,0.000442678,-0.040776476,0.999430575,pass_implied,,success,199,626,61.326557
1000082,0,vision_only_success,success,,0.002386383,-0.001253666,-0.040916458,0.998425352,pass_implied,,success,187,597,57.912944,failed,z_depth+orientation+inhand_bias,-0.006313170,-0.007506646,0.003857038,0.853961638,fail,0.040238897,inhand_early_stop,189,614,58.439571
1000083,pi,both_success,success,,-0.000476641,-0.000151047,-0.040557547,0.999683703,pass_implied,,success,213,627,61.000676,success,,-0.000236921,-0.000279228,-0.040355553,0.999082707,pass_implied,,success,173,581,55.803442
1000084,0,both_failed,failed,z_depth+inhand_bias,0.001781736,-0.001273141,-0.029346208,0.995895420,fail,0.040149493,inhand_early_stop,193,606,60.685334,failed,z_depth+inhand_bias,0.001519896,-0.000751335,-0.024789532,0.994097990,fail,0.040010778,inhand_early_stop,191,589,59.326534
1000085,pi,both_failed,failed,z_depth+inhand_bias,-0.004784462,-0.007834016,-0.001774068,0.991838702,fail,0.040011009,inhand_early_stop,169,601,57.818787,failed,z_depth+inhand_bias,-0.002019580,-0.000987711,-0.024487683,0.994785970,fail,0.040546385,inhand_early_stop,146,575,52.562228
1000086,pi,both_success,success,,-0.001913124,0.000087407,-0.040593503,0.999358571,pass_implied,,success,188,606,58.699298,success,,-0.001648497,-0.000043781,-0.040627851,0.999159399,pass_implied,,success,210,640,62.743439
1000087,pi,vision_only_success,success,,-0.001826005,-0.000419789,-0.040944133,0.999190134,pass_implied,,success,172,593,56.878746,failed,z_depth+inhand_bias,-0.002449896,-0.000380778,-0.024939950,0.996899113,fail,0.040743894,inhand_early_stop,162,581,55.182906
